Date,Unix,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount,Change
2022-03-15,1647302400000,BTCUSDT,39671.37,39887.61,38098.33,39280.33,46015.54926,1796571984.458497,1060517,0.19481313103199915
2022-03-16,1647388800000,BTCUSDT,39280.33,41718.0,38828.48,41114.0,88120.76167,3552563766.3655386,2051837,0.2158218300848036
2022-03-17,1647475200000,BTCUSDT,41114.01,41478.82,40500.0,40917.9,37189.38087,1521083189.7108624,935784,0.22132521780969805
2022-03-18,1647561600000,BTCUSDT,40917.89,42325.02,40135.04,41757.51,45408.00969,1862337033.4847207,1065054,0.21887743917727875
2022-03-19,1647648000000,BTCUSDT,41757.51,42400.0,41499.29,42201.13,29067.18108,1216709156.4428055,801197,0.27547380920933917
2022-03-20,1647734400000,BTCUSDT,42201.13,42296.26,40911.0,41262.11,30653.33468,1273880705.2502496,799695,0.260690496755706
2022-03-21,1647820800000,BTCUSDT,41262.11,41544.22,40467.94,41002.25,39426.24877,1618789548.0684211,947206,0.24930606379886444
2022-03-22,1647907200000,BTCUSDT,41002.26,43361.0,40875.51,42364.13,59454.94294,2525975507.8012,1367343,0.32886229611041395
2022-03-23,1647993600000,BTCUSDT,42364.13,43025.96,41751.47,42882.76,40828.87039,1725787170.5823965,916671,0.3663949028593352
2022-03-24,1648080000000,BTCUSDT,42882.76,44220.89,42560.46,43991.46,56195.12374,2436258223.622338,1202541,0.3956650476981809
2022-03-25,1648166400000,BTCUSDT,43991.46,45094.14,43579.0,44313.16,54614.43648,2421153187.6604123,1141588,0.3944357453578766
2022-03-26,1648252800000,BTCUSDT,44313.16,44792.99,44071.97,44511.27,23041.61741,1022802857.60941,693647,0.44331307261917674
2022-03-27,1648339200000,BTCUSDT,44511.27,46999.0,44421.46,46827.76,41874.91071,1907019662.3441496,1135096,0.5719103669476862
2022-03-28,1648425600000,BTCUSDT,46827.76,48189.84,46663.56,47122.21,58949.2614,2789898402.616576,1498975,0.46594892875953
2022-03-29,1648512000000,BTCUSDT,47122.21,48096.47,46950.85,47434.8,36772.28457,1748600385.4502351,1095678,0.4691231959533979
2022-03-30,1648598400000,BTCUSDT,47434.79,47700.22,46445.42,47067.99,40947.2085,1932152559.8831124,1081607,0.3994132143905187
2022-03-31,1648684800000,BTCUSDT,47067.99,47600.0,45200.0,45510.34,48645.12667,2262485160.568584,1290541,0.3284533252535018
2022-04-01,1648771200000,BTCUSDT,45510.35,46720.09,44200.0,46283.49,56271.06474,2556532890.870311,1372216,0.3081445927788402
2022-04-02,1648857600000,BTCUSDT,46283.49,47213.0,45620.0,45811.0,37073.53582,1721690754.4393935,1056716,0.2302350312587278
2022-04-03,1648944000000,BTCUSDT,45810.99,47444.11,45530.92,46407.35,33394.67794,1550999693.0508049,966563,0.17612405332573688
2022-04-04,1649030400000,BTCUSDT,46407.36,46890.71,45118.0,46580.51,44641.87514,2053434523.8685389,1171998,0.16394358158860323
2022-04-05,1649116800000,BTCUSDT,46580.5,47200.0,45353.81,45497.55,42192.74852,1951668192.9295096,1046080,0.13697031822888972
2022-04-06,1649203200000,BTCUSDT,45497.54,45507.14,43121.0,43170.47,60849.32936,2700644700.890392,1471912,0.02284252353376992
2022-04-07,1649289600000,BTCUSDT,43170.47,43900.99,42727.35,43444.19,37396.54156,1623879486.6600313,999816,0.04781168607367303
2022-04-08,1649376000000,BTCUSDT,43444.2,43970.62,42107.14,42252.01,42375.04203,1830699971.611312,1108136,0.06039762642851976
2022-04-09,1649462400000,BTCUSDT,42252.02,42800.0,42125.48,42753.97,17891.66047,759274586.6137776,640230,0.09211624044455102
2022-04-10,1649548800000,BTCUSDT,42753.96,43410.3,41868.0,42158.85,22771.09403,971459737.5009404,678983,0.10343117304267135
2022-04-11,1649635200000,BTCUSDT,42158.85,42414.71,39200.0,39530.45,63560.44721,2602039073.0150447,1385924,-0.004851827069232706
2022-04-12,1649721600000,BTCUSDT,39530.45,40699.0,39254.63,40074.94,57751.01778,2309514071.5938725,1153667,-0.01927245692011681
2022-04-13,1649808000000,BTCUSDT,40074.95,41561.31,39588.54,41147.79,41342.27254,1677171454.091079,948061,-0.03943051861632285
2022-04-14,1649894400000,BTCUSDT,41147.78,41500.0,39551.94,39942.38,36807.01401,1494726286.01801,803756,-0.10387920455060451
2022-04-15,1649980800000,BTCUSDT,39942.37,40870.36,39766.4,40551.9,24026.35739,966888436.8162508,616536,-0.0740385122562558
2022-04-16,1650067200000,BTCUSDT,40551.9,40709.35,39991.55,40378.71,15805.44718,638275503.9141085,423446,-0.12701098730039306
2022-04-17,1650153600000,BTCUSDT,40378.7,40595.67,39546.17,39678.12,19988.49259,803414248.9836986,590241,-0.12957927598536267
2022-04-18,1650240000000,BTCUSDT,39678.11,41116.73,38536.51,40801.13,54243.49575,2153574975.9131336,1157741,-0.10348860714991981
2022-04-19,1650326400000,BTCUSDT,40801.13,41760.0,40571.0,41493.18,35788.85843,1472363265.362188,934526,-0.06544787044753264
2022-04-20,1650412800000,BTCUSDT,41493.19,42199.0,40820.0,41358.19,40877.35041,1697039284.0853004,1063843,-0.1347658995815899
2022-04-21,1650499200000,BTCUSDT,41358.19,42976.0,39751.0,40480.01,59316.27657,2476061417.8872576,1515456,-0.13997681252285232
2022-04-22,1650585600000,BTCUSDT,40480.01,40795.06,39177.0,39709.18,46664.0196,1870172362.4022496,1043471,-0.1546529534962241
2022-04-23,1650672000000,BTCUSDT,39709.19,39980.0,39285.0,39441.6,20291.42375,804677022.9078971,724132,-0.14073003177034904
2022-04-24,1650758400000,BTCUSDT,39441.61,39940.0,38929.62,39450.13,26703.61186,1056336243.0198607,868183,-0.11736678602871176
2022-04-25,1650844800000,BTCUSDT,39450.12,40616.0,38200.0,40426.08,63037.12784,2470071005.2401423,1280351,-0.09572043934845298
2022-04-26,1650931200000,BTCUSDT,40426.08,40797.31,37702.26,38112.65,66650.258,2615206861.8349133,1381618,-0.18494130317348234
2022-04-27,1651017600000,BTCUSDT,38112.64,39474.72,37881.31,39235.72,57083.12272,2218523642.426388,1232083,-0.20450618146252608
2022-04-28,1651104000000,BTCUSDT,39235.72,40372.63,38881.43,39742.07,56086.6715,2223808385.806376,1135242,-0.1859781282445757
